gene_id	DRR357080	DRR357081	DRR357082	DRR357083	DRR357084
ENSG00000106462	472.3367384690942	467.2276179191908	335.4677545275953	373.3573953316146	459.0282305294155
ENSG00000106477	222.77175872763934	214.1450297686612	171.03263746615966	198.95101258211236	185.4202223393833
ENSG00000106479	175.95818113351064	156.68509349710774	73.27118846484893	107.73631662524606	185.39844954561505
ENSG00000106483	3.944638302368412	5.86222729743828	0.4495417647690832	0	0
ENSG00000106484	56.84663980355583	59.24954798269679	84.35129647105101	33.303253710985516	41.021278583632615
ENSG00000106511	0	0	0	0.5552527589758015	0
ENSG00000106524	616.3004693699896	616.8537116646348	387.5987513869093	456.5391669455236	601.2949481513122
ENSG00000106526	234.8092090588182	293.9159874162014	197.540395927952	169.79282910743464	268.9791519082853
ENSG00000106536	0	0	0	0	0
ENSG00000106537	818.271801360053	913.2918899328077	669.9762078458414	700.8402235225362	844.5275007386975
ENSG00000106538	0	5.35594318937457	0.8574834336776455	3.6086373732194144	0
ENSG00000106540	0	11.245224845491766	0	0	0
ENSG00000106541	3040.603332413093	3168.3897362520756	664.8814456052062	777.8086358277164	1080.8784999116758
ENSG00000106546	481.92414969074844	428.27998145813825	445.2075953904392	519.041241799389	619.9966348444674
ENSG00000106554	926.8134745420205	991.4087192313866	940.1574079265948	1071.515151467352	1170.200537395109
ENSG00000106560	51.06423259608	38.977397026793916	13.751876302454225	19.632192344032156	17.920959833836413
ENSG00000106565	9.623025336874587	25.97530896473361	3.086104027714414	1.9845681842672978	1.5784794517505734
ENSG00000106571	176.75314044577547	171.80009658542437	142.90465929607961	138.93369948032145	161.83136320485187
ENSG00000106588	2322.2989504276125	2480.7038630141087	2347.8130320920477	2435.846256641754	2916.382454215609
ENSG00000106591	1673.7296655477508	1895.9213243193449	1684.673434313216	2101.514998366182	2260.1272444952847
ENSG00000106603	1180.3825846894488	1185.7938103096292	1307.6558014216748	1410.9904175128333	1638.2764889717303
ENSG00000106605	1533.4936323020331	1518.2683943381192	1470.4963736972077	1682.0741564571797	1935.7555952907296
ENSG00000106608	1026.415661391976	1048.7211698434533	790.9760717720807	961.5894824889921	1206.0529070720056
ENSG00000106609	1042.7135408534825	1296.8045612782207	855.3801464921623	1138.7190508925482	1484.8579302860442
ENSG00000106610	0	0	5.146574935119129	6.9670801977505485	0
ENSG00000106615	1190.8788207252242	1228.6547639965227	1153.7549389732928	1329.219876584463	1560.4005744901178
ENSG00000106617	215.41694763407418	225.25911237902594	269.1852697121088	231.7609655247825	322.00941906102884
ENSG00000106624	0.6237363134528776	4.173167883845873	0.30628008102194587	0.612279479184757	3.807419171776798
ENSG00000106628	3378.175897402069	3659.5733284001813	3815.9987123000797	4498.683186631959	5136.4180826944
ENSG00000106631	5.284692652999537	0	0	0	6.459967802934141
ENSG00000106633	1.8272729014554956	1.7979723806963963	1.7906700454050335	1.8080307445012993	2.772821011251552
ENSG00000106635	923.9688045121608	888.7511800160751	735.2905907909303	817.375894891015	961.027177369963
