	"DRR357080"	"DRR357081"	"DRR357082"	"DRR357083"	"DRR357084"
"ENSG00000007541"	2241.95	2369.56	1564.54	1936.86	2204.33
"ENSG00000007545"	1245.46	1144.46	935.87	992.17	1273.20
"ENSG00000007866"	1315.00	1324.00	931.00	1150.00	1438.00
"ENSG00000007908"	0.00	0.00	0.00	0.00	0.00
"ENSG00000007923"	1779.00	1898.00	1673.00	1965.00	2279.01
"ENSG00000007933"	0.00	0.00	0.00	0.00	0.00
"ENSG00000007944"	773.00	610.00	429.00	416.00	467.00
"ENSG00000007952"	0.00	1.00	0.00	0.00	0.00
"ENSG00000007968"	1401.00	1399.31	967.00	1064.00	1297.00
"ENSG00000008018"	2404.00	2702.00	2953.00	3258.00	3786.00
"ENSG00000008056"	253.00	244.00	277.00	349.00	392.00
"ENSG00000008083"	606.00	479.00	425.00	397.00	523.00
"ENSG00000008086"	60.59	53.57	26.32	25.89	31.79
"ENSG00000008118"	1.00	0.00	0.00	0.00	0.00
"ENSG00000008128"	1051.91	1084.88	853.90	1061.62	1339.11
"ENSG00000008130"	1153.00	1222.00	1236.00	1412.00	1661.00
"ENSG00000008196"	0.00	0.00	0.00	0.00	0.00
"ENSG00000008197"	0.00	0.00	0.00	0.00	0.00
"ENSG00000008226"	1.00	3.00	2.00	2.00	1.00
"ENSG00000008256"	2025.00	2051.00	1266.00	1421.00	1707.00
"ENSG00000008277"	8.00	17.00	5.00	4.00	14.00
"ENSG00000008282"	1950.00	2091.00	1956.00	2138.00	2339.00
"ENSG00000008283"	2063.00	2259.00	1656.00	1752.03	2211.00
"ENSG00000008294"	2085.34	2294.00	2277.00	2351.01	2868.00
"ENSG00000008300"	161.00	161.00	121.00	91.00	153.00
"ENSG00000008311"	202.01	190.98	95.98	89.58	111.45
"ENSG00000008323"	770.00	727.00	666.00	742.00	1028.00
"ENSG00000008324"	142.00	198.00	135.00	161.00	200.00
"ENSG00000008382"	521.00	572.00	382.00	406.00	521.00
"ENSG00000008394"	6.00	2.00	4.00	1.00	5.07
"ENSG00000008405"	280.00	326.00	261.00	257.00	309.00
"ENSG00000008438"	0.00	0.00	0.00	0.00	0.00
"ENSG00000008441"	823.00	866.00	604.00	813.00	856.00
"ENSG00000008513"	155.00	187.00	160.00	179.00	184.00
"ENSG00000008516"	70.00	56.00	64.00	75.00	90.00
"ENSG00000008517"	14.00	10.00	3.00	4.00	8.00
"ENSG00000008710"	3647.26	3249.26	2339.20	2287.92	3361.44
"ENSG00000008735"	27.00	15.00	9.00	10.00	22.00
"ENSG00000008838"	1766.00	1861.00	1393.00	1607.00	2159.00
"ENSG00000008853"	1127.00	1095.00	1069.00	1253.00	1412.00
"ENSG00000008869"	945.00	966.00	776.00	857.00	1152.00
"ENSG00000008952"	2725.35	2815.00	2163.00	2549.00	2993.00
"ENSG00000008988"	12651.97	14148.02	10953.01	11795.00	13699.78
"ENSG00000009307"	11923.00	12238.00	9938.00	11243.00	13640.00
"ENSG00000009335"	2045.00	2085.00	1940.01	2202.00	2627.00
"ENSG00000009413"	629.24	628.12	518.22	476.52	646.19
"ENSG00000009694"	0.00	3.00	0.00	0.00	2.00
"ENSG00000009709"	2.00	3.00	0.00	1.00	0.00
"ENSG00000009724"	0.00	2.00	1.00	1.00	0.00
"ENSG00000009765"	1.34	0.49	1.01	1.00	1.00
"ENSG00000009780"	208.00	233.00	170.00	209.00	255.00
"ENSG00000009790"	0.00	0.00	1.00	0.00	1.00
"ENSG00000009830"	935.00	889.00	727.00	842.00	994.00
"ENSG00000009844"	1438.00	1623.00	1412.00	1469.00	1752.00
"ENSG00000009950"	87.00	71.10	33.95	50.00	64.68
"ENSG00000009954"	3000.00	3160.00	2768.00	2980.00	3433.00
"ENSG00000010017"	737.00	533.00	683.00	641.00	578.00
"ENSG00000010030"	91.00	81.00	29.00	36.00	34.00
"ENSG00000010072"	513.00	556.00	442.00	465.00	579.00
"ENSG00000010165"	830.00	856.00	737.00	818.00	947.00
"ENSG00000010219"	308.00	310.00	303.00	325.00	383.00
"ENSG00000010244"	3898.00	4020.25	3230.02	3396.41	4186.01
"ENSG00000010256"	4165.00	4239.00	3606.00	4004.00	4671.00
